Nível;Indicador;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;Unidade
5.1.3;Água, esgoto, atividades de gestão de resíduos e descontaminação;;;;;;;;;;;;;;;;;salários mínimos
5.1.4;Alojamento e alimentação;;;;;;;;;;;;;;;;;salários mínimos
5.1.5;Artes, cultura, esporte e recreação;;;;;;;;;;;;;;;;;salários mínimos
5.1.6;Atividades administrativas e serviços complementares;;;;;;;;;;;;;;;;;salários mínimos
5.1.7;Atividades financeiras, de seguros e serviços relacionados;;;;;;;;;;;;;;;;;salários mínimos
5.1.8;Atividades imobiliárias;;;;;;;;;;;;;;;;;salários mínimos
5.1.9;Atividades profissionais, científicas e técnicas;;;;;;;;;;;;;;;;;salários mínimos
5.1.10;Comércio; reparação de veículos automotores e motocicletas;;;;;;;;;;;;;;;;;salários mínimos
5.1.11;Construção;;;;;;;;;;;;;;;;;salários mínimos
5.1.12;Educação;;;;;;;;;;;;;;;;;salários mínimos
5.1.13;Eletricidade e gás;;;;;;;;;;;;;;;;;salários mínimos
5.1.14;Indústrias de transformação;;;;;;;;;;;;;;;;;salários mínimos
5.1.15;Indústrias extrativas;;;;;;;;;;;;;;;;;salários mínimos
5.1.16;Informação e comunicação;;;;;;;;;;;;;;;;;salários mínimos
5.1.17;Organismos internacionais e outras instituições extraterritoriais;;;;;;;;;;;;;;;;;salários mínimos
5.1.18;Outras atividades de serviços;;;;;;;;;;;;;;;;;salários mínimos
5.1.19;Saúde humana e serviços sociais;;;;;;;;;;;;;;;;;salários mínimos
5.1.20;Transporte, armazenagem e correio;;;;;;;;;;;;;;;;;salários mínimos
6;Salários e outras remunerações;3598869;4352816;4739527;5116976;6065582;6557447;6967893;7479033;7801572;8350422;8287339;8291705;8542235;8591658;8215057;8984802;R$
6.1;Classificação Nacional de Atividades Econômicas - CNAE;;;;;;;;;;;;;;;;;
6.1.1;Administração pública, defesa e seguridade social;;;;;;;;;;;;;;;;;R$
6.1.2;Agricultura, pecuária, produção florestal, pesca e aquicultura;;;;;;;;;;;;;;;;;R$
6.1.3;Água, esgoto, atividades de gestão de resíduos e descontaminação;;;;;;;;;;;;;;;;;R$
6.1.4;Alojamento e alimentação;;;;;;;;;;;;;;;;;R$
6.1.5;Artes, cultura, esporte e recreação;;;;;;;;;;;;;;;;;R$
6.1.6;Atividades administrativas e serviços complementares;;;;;;;;;;;;;;;;;R$
6.1.7;Atividades financeiras, de seguros e serviços relacionados;;;;;;;;;;;;;;;;;R$
6.1.8;Atividades imobiliárias;;;;;;;;;;;;;;;;;R$
6.1.9;Atividades profissionais, científicas e técnicas;;;;;;;;;;;;;;;;;R$
6.1.10;Comércio; reparação de veículos automotores e motocicletas;;;;;;;;;;;;;;;;;R$
6.1.11;Construção;;;;;;;;;;;;;;;;;R$
6.1.12;Educação;;;;;;;;;;;;;;;;;R$
6.1.13;Eletricidade e gás;;;;;;;;;;;;;;;;;R$
6.1.14;Indústrias de transformação;;;;;;;;;;;;;;;;;R$
6.1.15;Indústrias extrativas;;;;;;;;;;;;;;;;;R$
6.1.16;Informação e comunicação;;;;;;;;;;;;;;;;;R$
6.1.17;Organismos internacionais e outras instituições extraterritoriais;;;;;;;;;;;;;;;;;R$
6.1.18;Outras atividades de serviços;;;;;;;;;;;;;;;;;R$
6.1.19;Saúde humana e serviços sociais;;;;;;;;;;;;;;;;;R$
6.1.20;Transporte, armazenagem e correio;;;;;;;;;;;;;;;;;R$



